epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.05,2.27854,3.90503,2.15864,0.0028,0.35088,0.11129,0.10009,1.85019,3.89376,1.61295,1.25e-05,1.25e-05,1.25e-05
2,47.1715,2.17127,4.01847,2.07236,0.00282,0.35088,0.08366,0.07522,1.81947,3.89376,1.60875,3.68813e-05,3.68813e-05,3.68813e-05
3,70.82,2.23137,3.99231,1.97301,0.00439,0.36842,0.06802,0.06105,1.78051,3.88399,1.58512,6.04375e-05,6.04375e-05,6.04375e-05
4,90.4845,2.15068,3.94552,2.04911,0.00267,0.66667,0.03731,0.03026,1.74342,3.89467,1.58882,8.31687e-05,8.31687e-05,8.31687e-05
5,109.379,2.13858,3.88979,1.85843,0.00266,0.66667,0.02289,0.01374,1.6414,3.90118,1.53741,0.000105075,0.000105075,0.000105075
6,128.612,1.97501,3.58877,1.88932,0.00279,0.66667,0.02034,0.01076,1.55845,3.94407,1.50253,0.000126156,0.000126156,0.000126156
7,147.824,1.85939,3.54893,1.6125,0.00505,0.68421,0.02711,0.01469,1.57974,3.94452,1.51616,0.000146413,0.000146413,0.000146413
8,167.412,1.87034,3.22454,1.65733,0.00523,0.68421,0.03266,0.01507,1.71325,3.90379,1.54992,0.000165844,0.000165844,0.000165844
9,186.179,1.89616,2.85356,1.62409,0.00522,0.68421,0.03053,0.01455,1.78636,3.88041,1.57587,0.00018445,0.00018445,0.00018445
10,204.653,1.86708,2.73316,1.60568,0.00342,0.35088,0.02348,0.01,1.72462,3.85284,1.54687,0.000202231,0.000202231,0.000202231
11,222.586,1.79555,2.74766,1.52652,0.0077,0.38596,0.02965,0.01195,1.6543,3.78019,1.50387,0.000219188,0.000219188,0.000219188
12,241.474,1.83178,2.49304,1.47761,0.00794,0.38596,0.03653,0.01432,1.65716,3.69752,1.49115,0.000235319,0.000235319,0.000235319
13,262.798,1.90932,2.37678,1.53775,0.01819,0.47368,0.05219,0.02779,1.71415,3.60635,1.52034,0.000250625,0.000250625,0.000250625
14,281.927,2.00227,2.17943,1.56042,0.02394,0.52632,0.13431,0.0706,1.76295,3.50519,1.55712,0.000265106,0.000265106,0.000265106
15,300.273,1.94438,2.17101,1.56692,0.0264,0.54386,0.19089,0.08892,1.83117,3.41397,1.57823,0.000278762,0.000278762,0.000278762
16,318.96,1.94493,2.26977,1.70796,0.02832,0.5614,0.21584,0.09242,1.92612,3.30259,1.61988,0.000291594,0.000291594,0.000291594
17,337.112,1.80335,2.12496,1.50868,0.02881,0.5614,0.23022,0.09979,1.95331,3.28086,1.65419,0.0003036,0.0003036,0.0003036
18,356.245,1.86438,1.83887,1.41911,0.45079,0.22807,0.2339,0.10473,1.92224,3.25607,1.62902,0.000314781,0.000314781,0.000314781
19,374.494,1.73507,2.05823,1.40026,0.02917,0.57895,0.22988,0.10718,1.83932,3.18177,1.57028,0.000325137,0.000325137,0.000325137
20,392.95,1.67814,1.84831,1.41461,0.02945,0.57895,0.22183,0.10689,1.80962,3.19694,1.5391,0.000334669,0.000334669,0.000334669
21,410.616,1.69543,1.74135,1.43952,0.02799,0.57895,0.21324,0.10201,1.79032,3.25263,1.5362,0.000343375,0.000343375,0.000343375
22,428.74,1.73086,2.01775,1.48455,0.02298,0.54386,0.17895,0.08441,1.71708,3.33588,1.49599,0.000351256,0.000351256,0.000351256
23,447.398,1.71927,1.67714,1.45614,0.02563,0.57895,0.17753,0.08258,1.79771,3.39017,1.54486,0.000358313,0.000358313,0.000358313
24,466.317,1.67736,1.71416,1.37908,0.02755,0.59649,0.21805,0.08233,1.86201,3.39277,1.57647,0.000364544,0.000364544,0.000364544
25,484.675,1.70213,1.46019,1.32638,0.0317,0.61404,0.21289,0.08204,1.85016,3.37589,1.56004,0.00036995,0.00036995,0.00036995
26,502.698,1.65675,1.56958,1.39749,0.03115,0.59649,0.18154,0.06679,1.89109,3.44157,1.63036,0.000374531,0.000374531,0.000374531
27,521.729,1.64813,1.48601,1.30889,0.65713,0.08772,0.17884,0.0693,1.94154,3.42135,1.63626,0.000378287,0.000378287,0.000378287
28,540.711,1.58869,1.69539,1.40498,0.65713,0.08772,0.17884,0.0693,1.94154,3.42135,1.63626,0.000381219,0.000381219,0.000381219
29,560.001,1.70098,1.70476,1.42914,0.99195,0.05263,0.16226,0.06273,1.99195,3.39183,1.64044,0.000383325,0.000383325,0.000383325
30,578.258,1.61344,1.63554,1.33637,0.96415,0.05263,0.13514,0.05303,1.9751,3.44054,1.65923,0.000384606,0.000384606,0.000384606
31,597.508,1.59523,1.44715,1.33857,0.96415,0.05263,0.13514,0.05303,1.9751,3.44054,1.65923,0.000385062,0.000385062,0.000385062
32,616.082,1.54392,1.54852,1.26659,0.93654,0.05263,0.12344,0.04387,1.96485,3.41664,1.64315,0.000384694,0.000384694,0.000384694
33,634.978,1.53396,1.53344,1.29358,0.87241,0.05263,0.11745,0.0443,1.95179,3.42961,1.63966,0.0003835,0.0003835,0.0003835
34,653.467,1.59184,1.62596,1.43574,0.87241,0.05263,0.11745,0.0443,1.95179,3.42961,1.63966,0.000381481,0.000381481,0.000381481
35,672.618,1.56231,1.34587,1.31483,0.86923,0.05263,0.11614,0.05,1.89213,3.3796,1.57936,0.000378637,0.000378637,0.000378637
36,690.882,1.52726,1.38694,1.29985,0.94052,0.08153,0.13266,0.05499,1.95913,3.26475,1.58005,0.000374969,0.000374969,0.000374969
37,709.823,1.58756,1.54631,1.35182,0.94052,0.08153,0.13266,0.05499,1.95913,3.26475,1.58005,0.000370475,0.000370475,0.000370475
38,728.267,1.31477,1.27376,1.273,0.86297,0.08772,0.15311,0.06547,2.01377,3.06025,1.57572,0.000365156,0.000365156,0.000365156
39,747.343,1.42696,1.40538,1.19199,0.83978,0.12281,0.20371,0.08366,2.03698,2.77977,1.52897,0.000359013,0.000359013,0.000359013
40,765.634,1.4278,1.55088,1.37573,0.83978,0.12281,0.20371,0.08366,2.03698,2.77977,1.52897,0.000352044,0.000352044,0.000352044
41,784.677,1.39964,1.28095,1.25006,0.88482,0.17544,0.23486,0.09168,2.05526,2.52273,1.50734,0.00034425,0.00034425,0.00034425
42,802.732,1.43397,1.23108,1.22901,0.87006,0.17544,0.2335,0.09064,2.04477,2.37023,1.5385,0.000335631,0.000335631,0.000335631
43,821.679,1.44329,1.29079,1.24632,0.87006,0.17544,0.2335,0.09064,2.04477,2.37023,1.5385,0.000326188,0.000326188,0.000326188
44,839.728,1.40913,1.25551,1.29323,0.88371,0.21053,0.2507,0.09737,2.01792,2.17829,1.534,0.000315919,0.000315919,0.000315919
45,862.376,1.41272,1.23754,1.30163,0.88371,0.21053,0.2507,0.09737,2.01792,2.17829,1.534,0.000304825,0.000304825,0.000304825
46,882.456,1.38862,1.21752,1.24787,0.90324,0.25754,0.27099,0.11102,1.97421,2.10874,1.51021,0.000292906,0.000292906,0.000292906
47,901.567,1.2771,1.19017,1.18492,0.90324,0.25754,0.27099,0.11102,1.97421,2.10874,1.51021,0.000280162,0.000280162,0.000280162
48,920.732,1.45699,1.3712,1.27828,0.92332,0.26316,0.28113,0.12072,2.00628,2.02669,1.50246,0.000266594,0.000266594,0.000266594
49,939.407,1.42674,1.21987,1.26015,0.92332,0.26316,0.28113,0.12072,2.00628,2.02669,1.50246,0.0002522,0.0002522,0.0002522
50,959.099,1.30069,1.17632,1.15669,0.92521,0.26316,0.28733,0.12426,2.01821,1.99909,1.49789,0.000236981,0.000236981,0.000236981
51,977.409,1.44875,1.57284,1.22317,0.92521,0.26316,0.28733,0.12426,2.01821,1.99909,1.49789,0.00021875,0.00021875,0.00021875
52,995.837,1.42419,1.57619,1.28415,0.90099,0.24927,0.283,0.11519,2.07597,2.03591,1.56873,0.000198125,0.000198125,0.000198125
53,1014.35,1.24404,1.42497,1.21402,0.90099,0.24927,0.283,0.11519,2.07597,2.03591,1.56873,0.0001775,0.0001775,0.0001775
54,1032.56,1.34421,1.55375,1.30428,0.90954,0.23576,0.27249,0.10558,2.14012,2.05876,1.65193,0.000156875,0.000156875,0.000156875
55,1051.37,1.30179,1.26699,1.18231,0.90954,0.23576,0.27249,0.10558,2.14012,2.05876,1.65193,0.00013625,0.00013625,0.00013625
56,1069.41,1.28659,1.38851,1.22238,0.8689,0.21053,0.21558,0.09348,2.14591,2.13465,1.70395,0.000115625,0.000115625,0.000115625
57,1088.69,1.23752,1.15026,1.17342,0.8689,0.21053,0.21558,0.09348,2.14591,2.13465,1.70395,9.5e-05,9.5e-05,9.5e-05
58,1107.17,1.18019,1.20215,1.12674,0.53337,0.21053,0.21391,0.09158,2.13942,2.18053,1.72326,7.4375e-05,7.4375e-05,7.4375e-05
59,1126.29,1.31453,1.29223,1.27916,0.53337,0.21053,0.21391,0.09158,2.13942,2.18053,1.72326,5.375e-05,5.375e-05,5.375e-05
60,1144.99,1.18812,1.29458,1.14173,0.53362,0.22807,0.223,0.09535,2.12861,2.15706,1.71803,3.3125e-05,3.3125e-05,3.3125e-05
