epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74031,2.18156,3.13839,1.96329,0.00333,0.04918,0.00179,0.00052,3.384,3.91513,3.07703,2e-05,2e-05,2e-05
2,4.71946,2.05521,3.15426,2.03891,0.00222,0.03279,0.00118,0.00047,3.30767,3.89804,2.99315,5.703e-05,5.703e-05,5.703e-05
3,6.06416,2.12857,3.25786,1.96669,0.00778,0.11475,0.00439,0.00153,3.25516,3.70141,3.05134,9.01e-05,9.01e-05,9.01e-05
4,7.2692,1.58444,2.89924,1.58651,0.12728,0.13115,0.04122,0.0194,2.68462,4.18037,2.5231,0.00011921,0.00011921,0.00011921
5,8.51226,1.45247,2.06633,1.60827,0.35563,0.14754,0.15184,0.08852,1.76494,6.95942,1.69964,0.00014436,0.00014436,0.00014436
6,9.71797,1.26538,1.75444,1.38089,0.31741,0.67213,0.34405,0.16724,1.46579,8.85509,1.50482,0.00016555,0.00016555,0.00016555
7,11.2638,1.08647,1.47524,1.22009,0.37456,0.7541,0.42054,0.19593,1.48435,8.14045,1.50261,0.00018278,0.00018278,0.00018278
8,13.2322,1.19903,1.25934,1.223,0.41813,0.72131,0.53096,0.25377,1.61618,6.34933,1.52374,0.00019605,0.00019605,0.00019605
9,14.4627,1.16222,1.12451,1.1672,0.46057,0.70492,0.56669,0.28412,1.67101,5.23454,1.50699,0.00020536,0.00020536,0.00020536
10,15.6527,1.07568,1.03315,1.12891,0.42523,0.7541,0.59574,0.31785,1.62225,4.15036,1.46179,0.00021071,0.00021071,0.00021071
11,18.9809,1.04343,1.72859,1.09407,0.47727,0.59016,0.57707,0.32643,1.58694,3.15293,1.44642,0.0002121,0.0002121,0.0002121
12,21.1084,1.00014,1.11601,1.05415,0.49787,0.45902,0.45862,0.25609,1.5516,2.5879,1.46004,0.00020953,0.00020953,0.00020953
13,22.3308,1.07185,1.34909,1.0507,0.62606,0.34426,0.31602,0.18642,1.59433,2.70605,1.52044,0.000203,0.000203,0.000203
14,23.7115,1.0941,1.09776,1.10612,0.35775,0.37705,0.19122,0.10646,1.63601,2.92104,1.54996,0.00019251,0.00019251,0.00019251
15,25.6771,1.02719,1.02381,1.04026,0.36795,0.34426,0.19458,0.10347,1.65809,3.21039,1.54522,0.00017806,0.00017806,0.00017806
16,27.081,1.06382,1.00113,1.07336,0.36299,0.38306,0.28056,0.15279,1.65881,3.04288,1.49892,0.00015965,0.00015965,0.00015965
17,28.2481,0.9387,1.02932,1.00498,0.45075,0.5082,0.35583,0.19883,1.64945,2.88249,1.44206,0.00013728,0.00013728,0.00013728
18,29.3445,0.98061,0.87634,0.99775,0.50967,0.40984,0.39026,0.22539,1.62208,2.87191,1.39876,0.00011095,0.00011095,0.00011095
19,30.3647,0.89703,0.80365,0.98995,0.52852,0.42623,0.37341,0.21537,1.61231,2.84014,1.3975,8.066e-05,8.066e-05,8.066e-05
20,31.446,0.9436,0.87517,1.01872,0.52674,0.40984,0.36751,0.21464,1.58451,2.77182,1.39561,4.641e-05,4.641e-05,4.641e-05
